IND,OUTD,CC,TSA,BRD,LOC,defect
1,2,2,3,1,3,NO
2,1,1,2,0,1,NO
3,1,1,2,0,1,NO
2,1,1,2,0,1,NO
1,1,1,2,0,1,NO
3,1,1,2,0,1,NO
0,1,1,1,0,1,NO
0,5,2,4,1,8,YES
0,1,1,2,0,1,NO
1,1,1,1,0,1,NO
1,2,2,2,1,2,NO
4,1,2,2,1,2,NO
0,1,1,2,0,1,NO
1,11,2,2,1,16,YES
1,1,1,2,0,1,NO
1,1,1,2,0,1,NO
1,1,2,3,1,4,NO
2,1,1,1,0,1,NO
1,1,2,2,1,2,NO
1,1,1,2,0,1,NO
0,1,1,2,0,1,NO
2,2,2,2,1,2,NO
0,1,1,2,0,1,NO
0,1,1,2,0,1,NO
2,10,4,3,2,8,NO
1,1,1,2,0,1,NO
1,3,2,3,1,3,NO
2,6,5,3,2,9,NO
9,1,1,2,0,1,NO
1,3,3,3,1,6,NO
0,6,1,5,0,4,NO
1,1,1,3,0,1,NO
0,1,1,2,0,1,NO
0,1,1,2,0,1,NO
0,1,1,2,0,1,NO
2,4,2,2,1,12,YES
2,7,3,2,1,24,YES
0,3,1,4,0,3,NO
2,2,2,2,1,2,NO
1,3,2,3,1,2,NO
1,2,2,2,1,2,NO
3,3,3,2,1,3,NO
0,4,3,3,1,7,NO
2,3,2,3,1,3,NO
1,4,3,4,1,17,YES
1,4,3,5,1,22,YES
0,14,1,8,0,12,YES
0,2,2,3,1,2,NO
3,5,5,2,2,15,YES
3,1,1,2,0,1,NO
2,1,1,2,0,1,NO
5,1,1,2,0,1,NO
2,2,1,2,0,1,NO
1,1,1,4,0,1,NO
1,1,1,2,0,1,NO
0,1,2,2,1,2,NO
3,2,2,2,1,2,NO
0,1,1,3,0,1,NO
1,4,2,2,1,2,NO
2,2,1,2,0,1,NO
2,1,1,2,0,1,NO
7,1,1,2,0,1,NO
2,1,1,2,0,1,NO
3,1,1,2,0,1,NO
2,1,2,3,1,2,NO
0,5,1,3,0,5,NO
1,1,1,3,0,1,NO
1,1,1,3,0,1,NO
1,3,2,2,1,2,NO
1,1,1,2,0,1,NO
1,1,1,2,0,1,NO
1,2,1,2,0,1,NO
0,1,1,3,0,1,NO
1,1,1,2,0,1,NO
0,1,1,2,0,1,NO
0,11,8,3,6,32,YES
0,5,2,2,1,8,NO
0,2,3,3,2,9,NO
1,10,5,2,1,48,YES
1,4,1,4,0,4,NO
1,8,7,3,5,25,YES
0,5,2,3,1,4,NO
0,1,1,1,0,1,NO
0,1,1,3,0,1,NO
2,1,1,3,0,1,NO
1,1,2,3,1,6,NO
1,1,1,2,0,1,NO
1,2,2,3,1,2,NO
1,1,2,2,1,2,NO
1,1,1,3,0,1,NO
1,6,3,6,1,8,YES
1,3,3,2,1,3,NO
2,1,1,0,0,1,NO
0,1,1,0,0,1,NO
4,1,1,0,0,1,NO
1,1,1,0,0,1,NO
2,1,1,0,0,1,NO
5,1,1,0,0,1,NO
1,1,1,0,0,1,NO
5,1,1,0,0,1,NO
1,16,3,2,1,20,YES
1,1,1,0,0,1,NO
1,1,1,0,0,1,NO
3,1,1,0,0,1,NO
4,1,1,0,0,1,NO
2,1,1,0,0,1,NO
1,1,1,0,0,1,NO
5,1,1,0,0,1,NO
6,17,1,3,0,16,YES
1,2,2,2,1,4,NO
2,0,1,2,0,1,NO
1,1,1,4,0,1,NO
1,7,1,3,0,8,NO
1,37,8,3,2,116,YES
1,5,2,2,1,4,NO
1,3,2,2,1,4,NO
1,3,2,2,1,4,NO
2,0,1,2,0,1,NO
1,18,6,6,1,41,YES
1,14,1,3,0,27,YES
1,8,1,5,0,16,YES
1,11,1,2,0,12,YES
1,14,2,5,1,29,YES
1,7,3,2,1,15,YES
7,8,1,7,0,8,NO
3,1,1,2,0,1,NO
1,1,1,2,0,1,NO
0,1,1,2,0,1,NO
5,1,1,3,0,1,NO
2,1,1,2,0,1,NO
1,6,3,3,1,19,YES
1,20,3,3,1,42,YES
2,1,1,2,0,1,NO
1,23,9,4,2,98,YES
6,0,1,2,0,1,NO
1,14,1,4,0,15,YES
1,9,2,4,1,55,YES
2,6,1,6,0,6,NO
3,0,1,2,0,1,NO
1,2,1,4,0,5,NO
4,3,2,2,1,2,NO
1,2,2,2,1,3,NO
0,1,1,4,0,6,NO
5,0,1,3,0,2,NO
0,2,1,4,0,8,NO
0,1,1,3,0,1,NO
1,0,1,4,0,3,NO
1,0,1,2,0,3,NO
2,0,1,2,0,3,NO
1,0,4,3,0,14,YES
0,1,1,2,0,1,NO
2,0,1,2,0,1,NO
1,6,1,1,0,13,YES
1,18,6,2,3,25,YES
1,1,2,2,1,4,NO
1,1,2,2,1,4,NO
1,1,2,2,1,4,NO
1,3,2,2,1,4,NO
0,1,1,1,0,3,NO
1,2,1,2,0,1,NO
1,3,4,2,2,8,NO
1,0,1,2,0,1,NO
