ind,outd,cc,ts,bd,loc
0,1,1,1,0,1
0,1,1,2,0,1
0,1,1,2,0,1
2,1,2,2,1,3
1,1,1,3,0,1
1,3,2,4,0,7
0,1,1,2,0,1
0,1,1,2,0,1
1,2,1,2,0,1
1,1,1,2,0,1
9,1,1,2,0,1
17,3,1,2,0,3
1,2,1,3,0,1
6,2,1,3,0,1
1,2,1,1,0,3
1,2,1,1,0,3
1,3,1,1,0,5
1,2,1,1,0,6
1,3,1,1,0,4
1,3,1,1,0,4
1,2,1,1,0,3
1,2,1,1,0,3
1,2,1,1,0,5
1,3,1,1,0,4
1,3,1,1,0,4
1,4,1,1,0,6
1,2,1,1,0,4
1,2,1,2,0,3
1,3,2,1,0,5
1,2,1,1,0,3
1,4,1,1,0,6
1,1,1,2,0,6
2,0,1,3,0,1
1,1,3,4,2,10
1,0,2,2,1,11
1,0,2,1,1,13
1,2,2,3,1,11
1,1,1,2,0,1
1,8,1,3,0,15
2,7,6,4,1,33
1,17,18,4,1,18
1,1,1,6,0,2
1,1,1,2,0,1
3,13,4,3,2,23
1,2,1,2,0,6
2,9,3,3,2,18
1,1,1,5,0,6
1,0,8,4,1,11
3,1,1,1,0,1
3,1,1,1,0,1
4,1,1,1,0,1
3,3,1,3,0,3
1,1,1,2,0,1
1,1,1,2,0,1
2,3,1,3,0,3
1,1,1,1,0,1
1,1,1,1,0,1
2,3,1,2,0,4
1,12,4,5,1,33
3,1,1,2,0,1
3,1,1,2,0,1
2,1,1,3,0,1
1,3,2,1,1,7
6,2,1,2,0,1
1,2,1,3,0,1
3,3,1,1,0,3
1,15,6,2,4,27
1,5,1,1,0,4
1,0,1,4,0,3
0,3,2,1,1,10
2,8,4,1,1,25
1,4,4,2,2,10
1,0,2,3,1,2
2,2,1,1,0,1
1,1,1,1,0,1
2,2,2,2,1,2
2,0,1,2,0,1
2,0,1,2,0,1
